Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"SA1 (EN) by 1-digit level HCFMD Family Household Composition (Dwelling)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"1-digit level HCFMD Family Household Composition (Dwelling)","One family household","Multiple family household","Other household","Not applicable","Total",
"SA1 (EN)",
"50201102747",0,0,0,0,0,
"50201102748",87,0,30,3,122,
"50201102749",164,0,76,26,269,
"50201102750",150,3,34,8,199,
"50201102751",166,5,43,15,241,
"50201102752",182,5,35,20,243,
"50201102753",128,4,29,11,175,
"50201102754",67,0,22,30,122,
"50201102755",109,5,33,43,182,
"50201102756",158,0,54,20,238,
"50201102801",101,0,49,29,176,
"50201102802",58,0,67,15,144,
"50201102804",134,8,71,27,239,
"50201102805",123,5,49,16,189,
"50201102807",59,0,28,6,92,
"50201102808",119,0,62,24,201,
"50201102809",150,0,56,11,218,
"50201102811",163,3,60,94,318,
"50201102812",236,0,75,58,369,
"50201102813",165,4,106,43,322,
"50201102814",112,3,48,28,184,
"50201102815",150,0,152,44,344,
"50201102816",123,3,98,76,301,
"50201102817",78,0,199,52,320,
"50201102818",107,0,43,16,169,
"50201102819",133,0,75,30,234,
"50201102820",80,7,72,22,178,
"50201102821",118,3,130,44,295,
"50201102822",78,0,27,9,128,
"50201102823",0,0,0,0,0,
"50201102824",54,0,153,15,227,
"50201102825",154,6,46,16,221,
"50201102826",83,4,33,8,134,
"50201102827",0,0,0,0,0,
"50201102828",91,0,31,3,127,
"50201102829",82,0,74,17,174,
"50201102830",222,0,43,98,363,
"50201102901",97,0,102,16,210,
"50201102904",54,7,15,6,77,
"50201102905",52,4,17,12,79,
"50201102907",70,3,21,3,98,
"50201102909",134,0,63,17,215,
"50201102910",174,10,149,39,371,
"50201102912",152,11,36,17,219,
"50201102913",142,0,55,51,251,
"50201102914",181,6,108,32,318,
"50201102915",98,0,71,29,196,
"50201102916",107,0,67,24,199,
"50201102917",78,0,49,12,138,
"50201102919",128,0,93,43,270,
"50201102920",31,0,10,4,45,
"50201102921",56,8,24,6,91,
"50201102922",94,5,25,12,131,
"50201102923",255,5,44,32,338,
"50201102924",124,5,81,24,236,
"50201102925",117,7,23,9,153,
"50201102926",0,0,0,0,0,
"50201102927",0,0,0,0,0,
"50201102928",104,7,28,15,155,
"50201102929",119,0,17,7,138,
"50201102930",46,0,23,20,92,
"50201102931",100,0,23,11,134,
"50201102932",131,8,43,29,207,
"50301103001",110,3,131,66,302,
"50301103002",97,0,16,8,127,
"50301103003",0,0,0,0,0,
"50301103004",0,0,0,0,0,
"50301103005",0,0,0,0,0,
"50301103006",0,0,0,0,0,
"50301103007",127,0,34,8,176,
"50301103008",138,0,34,11,179,
"50301103009",125,0,32,8,168,
"50301103010",151,5,34,15,207,
"50301103011",202,10,36,16,256,
"50301103012",110,0,23,7,141,
"50301103013",140,6,24,11,177,
"50301103014",74,0,12,7,98,
"50301103015",170,0,27,15,208,
"50301103016",150,4,34,8,185,
"50301103017",88,0,37,4,135,
"50301103018",139,3,38,12,199,
"50301103101",50,0,60,8,117,
"50301103102",0,0,0,0,0,
"50301103104",101,0,46,25,169,
"50301103105",111,0,50,15,167,
"50301103106",142,0,61,46,252,
"50301103107",83,0,69,39,194,
"50301103108",155,0,99,30,284,
"50301103109",77,0,26,12,120,
"50301103110",59,0,27,17,109,
"50301103111",105,0,107,35,247,
"50301103112",94,0,43,16,149,
"50301103113",113,0,31,12,157,
"50301103114",167,0,140,68,376,
"50301103115",140,0,42,11,185,
"50301103117",120,0,79,14,214,
"50301103118",86,0,75,23,183,
"50301103119",98,0,130,34,264,
"50301103120",105,0,137,52,299,
"50301103121",159,4,86,18,267,
"50301103122",126,0,137,47,315,
"50301103123",89,0,134,47,267,
"50301103124",121,0,97,42,264,
"50301103125",0,0,0,0,0,
"50301103201",91,0,62,19,173,
"50301103202",84,0,46,20,153,
"50301103203",121,0,66,39,228,
"50301103204",104,0,33,13,151,
"50301103205",122,0,21,14,157,
"50301103206",108,0,20,10,131,
