Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"MB (EN) by 1-digit level HCFMD Family Household Composition (Dwelling)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"1-digit level HCFMD Family Household Composition (Dwelling)","One family household","Multiple family household","Other household","Not applicable","Total",
"MB (EN)",
"50189571000",9,0,3,16,21,
"50189572000",0,0,4,7,11,
"50189581000",9,0,6,9,24,
"50189582000",3,0,5,10,20,
"50189591000",4,0,0,4,13,
"50189592000",12,0,4,9,21,
"50189600000",20,0,12,8,41,
"50189610000",19,0,15,5,36,
"50392039600",0,0,0,0,0,
"50186820000",13,0,5,4,20,
"50189182000",15,0,5,0,19,
"50189190000",24,0,12,4,45,
"50189231000",23,0,0,0,28,
"50189232000",27,0,3,4,38,
"50189233000",19,0,4,0,31,
"50189234000",28,0,5,0,35,
"50189235000",38,0,6,6,54,
"50189236000",40,0,15,12,65,
"50189241000",8,0,0,0,13,
"50189242000",8,0,0,0,13,
"50189631000",21,0,12,15,50,
"50190180000",29,0,5,4,36,
"50188140000",0,0,0,0,0,
"50189041000",22,0,0,13,32,
"50189042000",3,0,4,7,14,
"50189050000",16,0,6,18,40,
"50189060000",14,0,0,12,27,
"50189070000",17,0,6,12,36,
"50189100000",7,0,3,11,20,
"50189120000",18,0,14,9,41,
"50189132000",20,0,5,5,27,
"50189260000",0,0,0,0,0,
"50189270000",24,0,13,71,112,
"50189583000",5,0,0,0,9,
"50377580000",0,0,0,0,0,
"50377700000",0,0,0,0,0,
"50377710000",0,0,0,0,0,
"50391790700",14,0,3,18,29,
"50391793100",8,0,8,14,24,
"50391798200",12,0,0,8,24,
"50391934900",21,0,9,13,47,
"50392044100",19,0,3,25,48,
"50392045400",0,0,0,0,0,
"50186760000",24,0,0,3,30,
"50189141000",17,0,3,0,21,
"50189142000",20,0,14,3,45,
"50189201000",22,0,0,0,24,
"50189202000",13,0,4,0,16,
"50189210000",16,0,6,4,26,
"50187050000",10,0,7,12,21,
"50187060000",14,0,13,10,37,
"50187070000",16,0,5,3,28,
"50187080000",21,0,12,4,40,
"50187090000",16,0,6,9,33,
"50189740000",18,0,13,9,39,
"50189761000",14,0,3,12,22,
"50189762000",7,0,12,6,27,
"50190220000",0,0,0,0,0,
"50377540000",0,0,0,0,0,
"50187010000",16,0,14,8,39,
"50187020000",15,0,8,10,29,
"50187030000",17,0,9,9,30,
"50189800000",8,0,3,13,26,
"50189811000",14,0,4,8,24,
"50189812000",10,0,5,10,27,
"50377550000",0,0,0,0,0,
"50186960000",3,0,6,19,28,
"50186980000",11,0,3,17,30,
"50187000000",7,0,5,12,28,
"50189710000",0,0,0,0,0,
"50189720000",22,0,14,13,42,
"50189731000",12,0,5,6,19,
"50189732000",5,0,3,3,17,
"50189821000",5,0,3,18,25,
"50189822000",4,0,4,16,23,
"50189831000",16,0,4,11,26,
"50189832000",6,0,0,3,10,
"50189891000",14,0,16,8,33,
"50189892000",3,0,0,3,5,
"50392013500",0,0,0,0,0,
"50186920000",9,0,4,20,32,
"50186930000",18,0,14,16,54,
"50186940000",8,0,0,18,28,
"50186950000",8,0,7,18,28,
"50186970000",6,0,10,11,25,
"50186990000",11,0,17,11,32,
"50189660000",13,0,13,10,35,
"50189670000",23,0,10,12,45,
"50189680000",11,0,7,4,21,
"50189690000",0,0,0,0,0,
"50189700000",8,0,13,5,32,
"50189841000",3,0,11,10,27,
"50189842000",9,0,6,13,28,
"50189851000",11,0,4,6,23,
"50189852000",6,0,3,10,23,
"50189860000",4,0,0,15,21,
"50391767200",0,0,0,0,0,
"50189131000",14,0,3,3,18,
"50189151000",9,0,8,0,22,
"50189152000",0,0,0,0,0,
"50189153000",10,0,0,3,10,
"50189154000",10,0,0,0,17,
"50189171000",14,0,3,0,21,
"50189172000",15,0,7,0,18,
"50189221000",49,0,7,4,56,
"50189222000",48,0,11,8,66,
"50391505400",24,0,11,0,43,
"50391563200",0,0,0,0,0,
"50186840000",17,0,6,19,33,
"50186850000",15,0,7,17,35,
"50186870000",15,0,4,14,29,
"50186880000",14,0,12,19,47,
"50186890000",8,0,4,18,24,
"50186900000",14,0,3,9,27,
"50186910000",11,0,3,9,25,
"50189250000",0,0,0,0,0,
"50189870000",14,0,5,21,39,
"50189881000",13,0,7,9,23,
"50189882000",14,0,7,11,27,
"50377600000",0,0,0,0,0,
"50188960000",23,0,14,5,41,
"50188970000",26,5,10,9,51,
"50188981000",29,0,13,8,47,
"50188982000",11,0,6,13,30,
"50189000000",21,3,12,5,36,
"50189010000",23,0,9,8,43,
"50189021000",13,0,3,3,24,
"50189022000",5,4,10,6,21,
"50377910000",0,0,0,0,0,
"50377920000",0,0,0,0,0,
"50186830000",21,0,14,14,48,
"50188930000",29,0,0,0,31,
"50188940000",25,0,8,0,29,
"50188950000",23,0,4,10,37,
"50188990000",0,0,0,0,0,
"50189280000",11,0,0,9,26,
"50189300000",4,0,7,18,29,
"50189310000",9,0,0,16,23,
"50189320000",10,0,0,16,25,
"50391591800",14,0,0,10,24,
"50391604600",9,0,0,4,17,
"50391790600",7,0,0,3,11,
"50391927800",5,0,32,0,36,
"50391934300",8,0,3,12,27,
"50392027200",21,0,0,15,41,
"50186860000",32,0,15,12,61,
"50189620000",0,0,0,0,0,
"50189632000",15,0,8,7,29,
"50189640000",32,0,13,17,53,
"50189650000",23,0,18,15,52,
"50189350000",38,0,8,7,49,
"50189361000",12,0,4,3,21,
"50189362000",0,0,0,0,0,
"50189370000",12,0,6,9,24,
"50189382000",9,0,6,7,24,
"50189390000",0,0,0,0,0,
"50195850000",32,0,14,10,62,
"50195862000",0,0,0,0,0,
"50377320000",0,0,0,0,0,
"50187100000",14,0,3,10,30,
"50187110000",19,0,13,14,40,
"50189340000",20,0,11,10,44,
"50189381000",11,0,5,3,20,
"50189400000",10,0,13,7,31,
"50189410000",0,0,0,0,0,
"50189472000",20,0,10,17,47,
"50377330000",0,0,0,0,0,
"50377371000",0,0,0,0,0,
"50189450000",32,0,17,0,49,
"50189461000",20,0,20,8,43,
"50189462000",32,0,15,8,48,
"50189463000",19,0,45,7,72,
"50189464000",0,0,0,0,0,
"50377340000",0,0,0,0,0,
"50377350000",0,0,0,0,0,
"50391483100",21,0,20,9,53,
"50392019900",14,0,15,11,37,
"50189520000",33,0,4,5,43,
"50189530000",29,4,11,0,42,
"50189550000",28,0,7,4,48,
"50189561000",10,0,0,0,12,
"50189562000",45,0,12,8,64,
"50391793000",9,0,4,0,17,
"50392009500",18,0,3,0,27,
"50392043600",0,0,0,0,0,
"50187040000",15,0,11,12,39,
"50189750000",15,0,16,11,39,
"50189771000",9,0,3,12,23,
"50189772000",14,0,4,6,29,
"50189780000",16,0,0,4,22,
"50189791000",14,0,5,18,38,
"50189792000",14,0,6,6,23,
"50194250000",0,0,0,0,0,
"50194300000",19,0,12,0,31,
"50194310000",0,0,0,0,0,
"50194320000",10,0,13,3,32,
"50194330000",22,0,14,0,43,
"50194340000",31,0,19,6,57,
"50194350000",20,0,7,3,32,
"50391563000",22,8,8,0,39,
"50391694400",4,0,24,0,30,
"50193851000",3,0,0,0,8,
"50194500000",0,0,0,0,0,
"50392053900",40,0,14,5,56,
"50194440000",0,0,0,0,0,
"50194450000",46,6,4,4,58,
"50194460000",37,0,4,3,48,
"50193750000",0,0,0,0,0,
"50193771000",0,0,0,0,0,
"50391686600",42,0,50,11,93,
"50391692600",54,0,51,19,116,
"50391728800",33,0,18,3,55,
"50391841900",28,0,10,5,46,
"50391944400",0,0,0,0,0,
