Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"SA1 (EN) by IRSAD Deciles at SA1 Level (Area)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"IRSAD Deciles at SA1 Level (Area)","Decile 1","Decile 2","Decile 3","Decile 4","Decile 5","Decile 6","Decile 7","Decile 8","Decile 9","Decile 10","Total",
"SA1 (EN)",
"50201102504",398,0,0,0,0,0,0,0,0,0,398,
"50201102505",0,0,0,0,282,0,0,0,0,0,282,
"50201102506",0,0,0,202,0,0,0,0,0,0,202,
"50201102507",0,0,315,0,0,0,0,0,0,0,315,
"50201102508",0,280,0,0,0,0,0,0,0,0,280,
"50201102509",199,0,0,0,0,0,0,0,0,0,199,
"50201102510",303,0,0,0,0,0,0,0,0,0,303,
"50201102511",317,0,0,0,0,0,0,0,0,0,317,
"50201102512",272,0,0,0,0,0,0,0,0,0,272,
"50201102513",278,0,0,0,0,0,0,0,0,0,278,
"50201102514",240,0,0,0,0,0,0,0,0,0,240,
"50201102515",256,0,0,0,0,0,0,0,0,0,256,
"50201102516",343,0,0,0,0,0,0,0,0,0,343,
"50201102517",243,0,0,0,0,0,0,0,0,0,243,
"50201102518",247,0,0,0,0,0,0,0,0,0,247,
"50201102519",183,0,0,0,0,0,0,0,0,0,183,
"50201102520",358,0,0,0,0,0,0,0,0,0,358,
"50201102522",50,0,0,0,0,0,0,0,0,0,50,
"50201102523",0,0,0,0,0,0,0,647,0,0,647,
"50201102524",0,0,0,0,0,0,0,0,0,0,0,
"50201102525",0,0,0,0,0,0,0,0,0,0,0,
"50201102526",0,0,477,0,0,0,0,0,0,0,477,
"50201102601",0,0,0,83,0,0,0,0,0,0,83,
"50201102602",0,0,0,150,0,0,0,0,0,0,150,
"50201102603",0,0,0,0,316,0,0,0,0,0,316,
"50201102604",0,0,0,315,0,0,0,0,0,0,315,
"50201102605",0,279,0,0,0,0,0,0,0,0,279,
"50201102606",0,201,0,0,0,0,0,0,0,0,201,
"50201102607",0,0,0,0,157,0,0,0,0,0,157,
"50201102608",0,0,164,0,0,0,0,0,0,0,164,
"50201102609",0,0,0,148,0,0,0,0,0,0,148,
"50201102611",0,178,0,0,0,0,0,0,0,0,178,
"50201102612",151,0,0,0,0,0,0,0,0,0,151,
"50201102613",349,0,0,0,0,0,0,0,0,0,349,
"50201102614",0,0,0,0,0,223,0,0,0,0,223,
"50201102615",0,0,0,77,0,0,0,0,0,0,77,
"50201102616",0,0,0,0,0,79,0,0,0,0,79,
"50201102618",0,0,0,0,0,0,0,0,0,0,0,
"50201102619",0,292,0,0,0,0,0,0,0,0,292,
"50201102620",0,0,0,120,0,0,0,0,0,0,120,
"50201102705",0,0,0,202,0,0,0,0,0,0,202,
"50201102706",0,0,0,0,0,125,0,0,0,0,125,
"50201102707",0,159,0,0,0,0,0,0,0,0,159,
"50201102708",0,0,0,0,206,0,0,0,0,0,206,
"50201102709",0,0,0,259,0,0,0,0,0,0,259,
"50201102710",0,0,0,0,0,0,139,0,0,0,139,
"50201102712",0,0,0,105,0,0,0,0,0,0,105,
"50201102713",0,0,0,313,0,0,0,0,0,0,313,
"50201102716",0,0,0,0,0,0,262,0,0,0,262,
"50201102717",0,0,0,0,238,0,0,0,0,0,238,
"50201102720",0,0,132,0,0,0,0,0,0,0,132,
"50201102721",0,0,0,0,0,0,248,0,0,0,248,
"50201102722",0,0,159,0,0,0,0,0,0,0,159,
"50201102723",0,0,0,223,0,0,0,0,0,0,223,
"50201102724",0,0,0,198,0,0,0,0,0,0,198,
"50201102725",0,0,0,0,0,162,0,0,0,0,162,
"50201102726",89,0,0,0,0,0,0,0,0,0,89,
"50201102727",0,0,0,186,0,0,0,0,0,0,186,
"50201102728",0,0,0,0,0,0,0,333,0,0,333,
"50201102729",0,0,0,0,188,0,0,0,0,0,188,
"50201102730",0,0,0,0,215,0,0,0,0,0,215,
"50201102731",0,0,0,174,0,0,0,0,0,0,174,
"50201102732",0,0,158,0,0,0,0,0,0,0,158,
"50201102733",0,0,0,0,154,0,0,0,0,0,154,
"50201102734",0,0,0,0,113,0,0,0,0,0,113,
"50201102735",0,0,0,0,266,0,0,0,0,0,266,
"50201102736",0,130,0,0,0,0,0,0,0,0,130,
"50201102737",0,0,0,0,189,0,0,0,0,0,189,
"50201102738",0,0,0,172,0,0,0,0,0,0,172,
"50201102739",0,0,0,155,0,0,0,0,0,0,155,
"50201102740",0,0,0,0,239,0,0,0,0,0,239,
"50201102741",0,0,0,0,0,0,0,0,0,0,0,
"50201102743",0,0,0,0,0,0,118,0,0,0,118,
"50201102744",0,0,0,174,0,0,0,0,0,0,174,
"50201102746",0,0,0,321,0,0,0,0,0,0,321,
"50201102747",0,0,0,0,0,0,0,0,0,0,0,
"50201102748",0,0,122,0,0,0,0,0,0,0,122,
"50201102749",0,0,0,269,0,0,0,0,0,0,269,
"50201102750",0,0,199,0,0,0,0,0,0,0,199,
"50201102751",0,0,241,0,0,0,0,0,0,0,241,
"50201102752",0,0,0,0,0,0,0,243,0,0,243,
"50201102753",0,0,0,0,0,175,0,0,0,0,175,
"50201102754",0,0,0,0,122,0,0,0,0,0,122,
"50201102755",0,0,0,0,0,182,0,0,0,0,182,
"50201102756",0,0,0,238,0,0,0,0,0,0,238,
"50201102801",176,0,0,0,0,0,0,0,0,0,176,
